# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
ReadAction.executionsCount,1771181723897000000,1771181730740000000,51302
FlushQueue.waitingTimeAvgNs,1771181723897000000,1771181730740000000,0.0
WriteAction.executionsCount,1771181723897000000,1771181730740000000,1
AWTEventQueue.dispatchTimeTotalNS,1771181723897000000,1771181730740000000,5628140333
NonBlockingReadAction.failedExecutionsCount,1771181723897000000,1771181730740000000,0
NonBlockingReadAction.failedExecutionTimeUs,1771181723897000000,1771181730740000000,0
FlushQueue.tasksExecuted,1771181723897000000,1771181730740000000,0
FlushQueue.executionTimeAvgNs,1771181723897000000,1771181730740000000,0.0
NonBlockingReadAction.finalizedExecutionTimeUs,1771181723897000000,1771181730740000000,29818
workspaceModel.entityStorageSnapshotImpl.instances.count,1771181723897000000,1771181730740000000,3
workspaceModel.loading.from.cache.ms,1771181723897000000,1771181730740000000,27
workspaceModel.check.recursive.update.ms,1771181723897000000,1771181730740000000,0
workspaceModel.pre.handlers.ms,1771181723897000000,1771181730740000000,0
workspaceModel.loading.total.ms,1771181723897000000,1771181730740000000,35
workspaceModel.cachedValue.calculated.ms,1771181723897000000,1771181730740000000,0
workspaceModel.update.unloaded.entities.ms,1771181723897000000,1771181730740000000,0
workspaceModel.full.replace.project.model.ms,1771181723897000000,1771181730740000000,0
workspaceModel.cachedValueWithParameters.calculated.ms,1771181723897000000,1771181730740000000,0
workspaceModel.init.bridges.ms,1771181723897000000,1771181730740000000,0
workspaceModel.updates.count,1771181723897000000,1771181730740000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1771181723897000000,1771181730740000000,0
workspaceModel.cachedValue.clear.ms,1771181723897000000,1771181730740000000,0
workspaceModel.replace.project.model.ms,1771181723897000000,1771181730740000000,0
workspaceModel.cachedValueWithParameters.clear.ms,1771181723897000000,1771181730740000000,0
workspaceModel.updates.ms,1771181723897000000,1771181730740000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1771181723897000000,1771181730740000000,0
workspaceModel.to.snapshot.ms,1771181723897000000,1771181730740000000,0
workspaceModel.collect.changes.ms,1771181723897000000,1771181730740000000,0
workspaceModel.updates.precise.ms,1771181723897000000,1771181730740000000,0
workspaceModel.cachedValue.total.get.ms,1771181723897000000,1771181730740000000,0
workspaceModel.cachedValue.from.cache.ms,1771181723897000000,1771181730740000000,0
workspaceModel.initializing.ms,1771181723897000000,1771181730740000000,0
